,gpr,ec
AHCYSNS,b0159,3.2.2.9
TMK,b1106,2.7.1.89
NTPP4,b1759 or b2781,"['3.6.1.65', '3.6.1.8', '3.6.1.9']"
NTPP3,b2781 or b2251 or b1759,"['3.6.1.12', '3.6.1.65', '3.6.1.9']"
NTPP6,b2781 or b0905,"['3.6.1.8', '3.6.1.9']"
NTPP7,b2251 or b2781 or b3248,"['3.6.1.19', '3.6.1.9']"
NTPP8,b2781 or b3248,"['3.6.1.8', '3.6.1.9']"
P5CR,b0386,1.5.1.2
CYANST,b2668 or b3425 or b2521,2.8.1.1
DHPPDA2,b0414,3.5.4.26
G5SADs,s0001,
GMAND,b2053,4.2.1.47
PPCSCT,b2920,2.8.3.1
CYTD,b2143,3.5.4.5
DCYTD,b2143,3.5.4.5
DBTS,b0778,6.3.3.3
DCTPD,b2065,3.5.4.13
DHDPS,b2478,
G1PACT,b3730,"['2.3.1.157', '2.3.1.4']"
GART,b1849,2.1.2.-
CSND,b0337,3.5.4.1
GF6PTA,b3729,2.6.1.16
GLUCYS,b2688,6.3.2.2
GLUN,b0485 or b1524,"['1.4.1.13', '1.4.7.1', '3.5.1.2', '3.5.1.38', '4.3.3.6', '6.3.4.2', '6.3.5.2', '6.3.5.4', '6.3.5.5']"
GLUPRT,b2312,2.4.2.14
GMPR,b0104,1.7.1.7
NADS1,b1740,"['6.3.1.5', '6.3.5.1']"
NTRIR2x,b3366 and b3365,"['1.7.1.15', '1.7.1.4']"
OCBT,b4254 or b0273,2.1.3.3
GARFT,b2500,2.1.2.2
GPDDA1,b3449,"['3.1.4.2', '3.1.4.46']"
GPDDA2,b3449,"['3.1.4.2', '3.1.4.46']"
PHETA1,b0928 or b4054 or b3770,"['2.6.1.1', '2.6.1.42', '2.6.1.5', '2.6.1.57', '2.6.1.58', '2.6.1.9']"
PPND,b2600,1.3.1.12
TRPS1,b1260 and b1261,4.2.1.20
PRAMPC,b2026,3.5.4.19
MCITL2,b0331,4.1.3.30
DXYLK,b3564,2.7.1.-
MDH3,b2210,1.1.5.4
SOTA,b1748,2.6.1.81
SGSAD,b1746,1.2.1.71
PTA2,b2297,"['2.3.1.222', '2.3.1.8']"
MDH2,b2210,1.1.5.4
ACOTA,b2662 or b1748 or b3359 or b1302,2.6.1.11
GPDDA5,b3449,3.1.4.44
PDX5PS,b2564 and b0052,
PPBNGS,b0369,4.2.1.24
PPNCL2,b3639,6.3.2.5
PRAGSr,b4005,6.3.4.13
PRFGS,b2557,6.3.5.3
ETHAAL,b2441 and b2440,4.3.1.7
MAN1PT2,b2049,2.7.7.22
AP4AH,b0049,3.6.1.41
AP5AH,b0049,3.6.1.61
ADNCYC,b3806,4.6.1.1
MI1PP,b2533,3.1.3.25
MCITS,b0333,2.3.3.5
PPAKr,b3115,2.7.2.15
NTP3,b3590 or b2918 or b4352 or b4161 or b2727 or b2173 or b4173,"['3.6.1.15', '3.6.1.5', '3.6.5.1', '3.6.5.2', '3.6.5.3', '3.6.5.4', '3.6.5.5', '3.6.5.6']"
PPM2,b4383,5.4.2.7
MOAT2,b3633,2.4.99.13
G6PDH2r,b1852,"['1.1.1.363', '1.1.1.49']"
NADH5,b3713 or b1109 or b0046 or b1004,
MOHMT,b0134,2.1.2.11
GMPS,b2507,6.3.5.2
FTHFLi,,6.3.4.3
UDPGD,b2028,1.1.1.22
GLCRD,b2788 or b2787,4.2.1.40
PPPNDO,b2540 and b2542 and b2538 and b2539,1.14.12.19
CHRPL,b4039 or b1096,4.1.3.40
TDPAGTA,b3791,2.6.1.59
UACMAMO,b3787,1.1.1.336
FBA3,b2925,"['4.1.2.-', '4.1.2.13']"
PMPK,b2103,2.7.4.7
LCADi,b1415,1.2.1.22
ADK3,b0474,"['2.7.4.10', '2.7.4.4']"
GLUDC,b3517 or b1493,4.1.1.15
BSORy,b3551,1.-.-.-
ADSK,b2750,2.7.1.25
HSDy,b3940 or b0002,1.1.1.3
CYSTL,b3008 or b1622,4.4.1.8
SHSL1,b3939,2.5.1.48
SSALy,b1525 or b2661,"['1.2.1.16', '1.2.1.79']"
3HCINNMH,b0347,1.14.13.127
BSORx,b3551,
NMNt7pp,,3.2.2.14
GLUtex,b1377 or b0241 or b0929 or b2215,
GLYtex,b1377 or b0241 or b0929 or b2215,
GLYALDtex,b1377 or b0241 or b0929 or b2215,
GLYBtex,b1377 or b0241 or b0929 or b2215,
GLYCtex,b1377 or b0241 or b0929 or b2215,
GLYC3Ptex,b1377 or b0241 or b0929 or b2215,
GLYCLTtex,b1377 or b0241 or b0929 or b2215,
GTPtex,b0241 or b1377 or b2215 or b0929,
GUAtex,b0411,
Htex,b1377 or b0241 or b0929 or b2215,
H2tex,b1377 or b0241 or b0929 or b2215,
H2Otex,b1377 or b2215 or b1319 or b3875 or s0001 or b0957 or b0241 or b0929,
FACOAL160t2pp,b1701 or b1805,
FACOAL180t2pp,b1701 or b1805,
SPODMpp,b1646,1.15.1.1
NO3R1bpp,b2204 and b2205 and b2202 and b2203 and b2206,
O2tpp,s0001,
PHYTSpp,b0980,
PPTHpp,b0383,
NO3R2pp,( b1466 and b1467 and b1468 and b1465 ) or ( b1226 and b1224 and b1227 and b1225 ),
NTP3pp,b0980,"['3.6.1.15', '3.6.1.5', '3.6.5.1', '3.6.5.2', '3.6.5.3', '3.6.5.4', '3.6.5.5', '3.6.5.6']"
NO3R2bpp,b2203 and b2206 and b2202,1.7.99.4
THD2pp,b1602 and b1603,1.6.1.1
TMAOR1pp,( b0997 and b0996 ) or ( b1872 and b1873 ),
TMAOR2pp,( b0997 and b0996 ) or ( b1872 and b1873 ),
DAPtex,b1377 or b0241 or b0929 or b2215,
12PPDStex,b1377 or b0241 or b0929 or b2215,
DDGLCNtex,b1377 or b0241 or b0929 or b2215,
26DAHtex,b1377 or b0241 or b0929 or b2215,
HCINNMtex,b1377 or b0241 or b0929 or b2215,
HPPPNtex,b2215 or b0929 or b1377 or b0241,
ACtex,b1377 or b0241 or b0929 or b2215,
ACALDtex,b1377 or b0241 or b0929 or b2215,
ACMANAtex,b0929 or b2215 or b0241 or b1377,
ACMUMtex,b1377 or b0241 or b0929 or b2215,
ACACT7r,b2342 or b3845,"['2.3.1.155', '2.3.1.16', '2.3.1.9']"
PSP_L,b4388,3.1.3.3
ACACT2r,b2342 or b3845,"['2.3.1.16', '2.3.1.9']"
ACACT3r,b2342 or b3845,2.3.1.9
ACACT4r,b2342 or b3845,"['2.3.1.16', '2.3.1.9']"
SUCCt2_2pp,b3528 or b0010,
SUCFUMtpp,b0621 or b4123 or b4138,
SUCptspp,b2416 and b2417 and b2415 and b2429,
SULabcpp,( b0765 and b0764 and b0763 ) or ( b2422 and b2423 and b2424 and b2425 ) or ( b2424 and b2422 and b2423 and b3917 ),3.6.3.25
TSULabcpp,( b2424 and b2423 and b2422 and b3917 ) or ( b2424 and b2422 and b2425 and b2423 ),3.6.3.25
TARTRt7pp,b3063,
AHGDx,b2913,"['1.1.1.399', '1.1.1.M7']"
TAURabcpp,b0367 and b0365 and b0366,3.6.3.36
THMDt2pp_copy1,b2964 or b2393,
Kt2pp,( b1363 and b1291 and b3290 ) or ( b1291 and b3849 and b3290 ) or b1250 or b3747,
AKGt2rpp,b2587,
XYLt2pp,b4031,
THMabcpp,b0068 and b0066 and b0067,
THMDt2pp_copy2,b2406,
THRabcpp,b3457 and b3455 and b3456 and b3460 and b3454,
TREptspp,b2416 and b2417 and b4240 and b2415,2.7.1.69
TRPt2rpp,b3709 or b3161 or b0112,
TYRt2rpp,b1907 or b0112,
URIt2pp_copy1,b2964 or b2393,
URIt2pp_copy2,b2406,
VALabcpp,b3455 and b3456 and b3457 and b3460 and b3454,
XTSNt2rpp,b2406,
XYLabcpp,b3566 and b3568 and b3567,
XYLUt2pp,b3578 and b3577 and b3579,
THRt4pp,b3089,
GALtex,b1377 or b0241 or b0929 or b2215,
GALCTtex,b1377 or b0241 or b0929 or b2215,
GALCTNtex,b1377 or b0241 or b0929 or b2215,
GALTtex,b1377 or b0241 or b0929 or b2215,
GALURtex,b1377 or b0241 or b0929 or b2215,
GTPCI,b2153,3.5.4.16
FDMO,b0935,1.14.14.5
FEOXAMabcpp,b0153 and b0152 and b0151,
CBL1abcpp,b0158 and b1709 and b1711,3.6.3.33
ACACt2pp,b2223,
ACGAptspp,( b2415 and b2416 and b2417 and b1101 ) or ( b2416 and b2415 and b0679 ),
ACMANAptspp,b1817 and b1818 and b2415 and b2416 and b1819,
ACNAMt2pp,b3224,
CHOLD,b0311,"['1.1.1.-', '1.1.1.1']"
DRPA,b4381,4.1.2.4
TKT2,b2935 or b2465,2.2.1.1
FEENTERabcpp,b0590 and b0589 and b0592 and b0588,3.6.3.34
FECRMabcpp,b0152 and b0153 and b0151,3.6.3.34
GAMtex,b1377 or b0241 or b0929 or b2215,
GBBTNtex,b1377 or b0241 or b0929 or b2215,
ARBt2rpp,b2841,
CO2tpp,s0001,
DMSOR1pp,b1872 and b1873,
ARGabcpp,( b2310 and b2308 and b2306 and b2307 ) or ( b0862 and b0860 and b0864 and b0861 ) or ( b0862 and b0864 and b0863 and b0861 ),3.6.3.21
ARGAGMt7pp,b4115,
ASCBptspp,b2416 and b4193 and b4195 and b2415 and b4194,
ASNt2rpp,b1453,
ASPabcpp,b0655 and b0654 and b0652 and b0653,3.6.3.21
ASPt2pp,b4077,
ASPt2_2pp,b3528,
ASPt2_3pp,b4138 or b4123,
HIStex,b1377 or b0241 or b0929 or b2215,
HXAtex,b1377 or b0241 or b0929 or b2215,
HYXNtex,b0929 or b2215 or b0241 or b1377,
IDONtex,b1377 or b0241 or b0929 or b2215,
ILEtex,b1377 or b0241 or b0929 or b2215,
INSTtex,b1377 or b0241 or b0929 or b2215,
INStex,b0411,
Ktex,b1377 or b0241 or b0929 or b2215,
D_LACtex,b1377 or b0241 or b0929 or b2215,
NTD8pp,b4055 or b0480,"['3.1.3.5', '3.1.3.89']"
FRULYStex,b1377 or b0241 or b0929 or b2215,
GALCTt2rpp,b2789 or b3127,
GALt2pp,b2943,
ASPtex,b1377 or b0241 or b0929 or b2215,
ABUTt2pp,b2663,
CYSabcpp,b1920 and b1918 and b1917,3.6.3.21
SBTptspp,b2702 and b2704 and b2416 and b2703 and b2415,
TREHpp,b1197,3.2.1.28
CYTBDpp,( b0978 and b0979 ) or ( b0733 and b0734 and b4515 ),
CYTBD2pp,b0978 and b0979,
ACALDtpp,s0001,
ACt2rpp,b0010,
ATPS4rpp,( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 ),3.6.3.14
INDOLEtex,b1377 or b0241 or b0929 or b2215,
L_LACtex,b2215 or b0929 or b1377 or b0241,
ACt4pp,b4067,
ADEt2rpp,b3714 or b3654 or b3664,
ADNt2pp_copy1,b2964 or b2393,
ADNt2pp_copy2,b2406,
ALAabcpp,b3460 and b3456 and b3454 and b3455 and b3457,
ALLabcpp,b4088 and b4087 and b4086,
ALLTNt2rpp,b0511,
ARBabcpp,b1901 and b4460 and b1900,3.6.3.17
ECOAH8,b2341 or b3846,"['4.2.1.134', '4.2.1.17']"
GLCDpp,b0124 or b0837,
GUAtpp,b4464 or b4064,
HYD2pp,( b0974 and b0973 and b0972 ) or ( b2996 and b2994 and b2997 and b2995 ),
HYXNtpp,b4064 or b4464,
FE3DCITabcpp,b4289 and b4287 and b4288 and b4290,
CPGNtonex,b1102 and b3006 and b1252 and b3005,
GLCRtex,b1377 or b0241 or b0929 or b2215,
GLCNtex,b1377 or b0241 or b0929 or b2215,
GLCURtex,b1377 or b0241 or b0929 or b2215,
GLNtex,b2215 or b0929 or b1377 or b0241,
O2tex,b1377 or b0241 or b0929 or b2215,
OCTAtex,b1377 or b0241 or b0929 or b2215,
ORNtex,b1377 or b0241 or b0929 or b2215,
ECOAH5,b2341 or b3846,"['4.2.1.17', '4.2.1.74']"
DHFS,b2315,"['6.3.2.12', '6.3.2.17']"
CITt7pp,b0612,
CRNt7pp,b0040,
CHLabcpp,b2131 and b2129 and b2128 and b2130,
DGSNt2pp,b2964,
DINSt2pp,b2964,
DURIt2pp,b2393 or b2964,
FE2abcpp,b3409,
FRUptspp,b2169 and b2415 and b2167 and b2416,
FUCtpp,b2801,
FUMt2_2pp,b3528,
FUMt2_3pp,b4123 or b4138 or b0621,
FEENTERtonex,b0584 and b3006 and b1252 and b3005,
CSNt2pp,b0336,
CYNTt2pp,b0341,
CYTDt2pp_copy1,b2393 or b2964,
CYTDt2pp_copy2,b2406,
DADNt2pp,b2393 or b2964,
DCYTt2pp,b2393 or b2964,
DDGLCNt2rpp,b3909,
RMNtex,b0929 or b0241 or b2215 or b1377,
MALTTRtexi,b4036,
MALTTTRtexi,b4036,
MALTPTtexi,b4036,
MALTtexi,b4036,
GLCtex_copy1,b4036,
FE3DCITtonex,b3006 and b1252 and b3005 and b4291,
PHEtex,b1377 or b0241 or b0929 or b2215,
PItex,b1377 or b0241 or b0929 or b2215,
ACGAMK,b1119,2.7.1.59
METS,b4019 or b3829,2.1.1.13
CYSabc2pp,b0887 and b0886,3.6.3.21
PRASCSi,b2476,6.3.2.6
TRSARr,b0509 or b3125,"['1.1.1.-', '1.1.1.60']"
LYXI,b3903,5.3.1.-
PNTOtex,b1377 or b0241 or b0929 or b2215,
PPPNtex,b1377 or b0241 or b0929 or b2215,
PPTtex,b1377 or b0241 or b0929 or b2215,
PTRCtex,b1377 or b0241 or b0929 or b2215,
PYRtex,b1377 or b0241 or b0929 or b2215,
DSERtex,b1377 or b0241 or b0929 or b2215,
SERtex,b1377 or b0241 or b0929 or b2215,
SO4tex,b1377 or b0241 or b0929 or b2215,
SPMDtex,b0929 or b2215 or b0241 or b1377,
SUCCtex,b1377 or b0241 or b0929 or b2215,
SUCRtex,b1377 or b0241 or b0929 or b2215,
TARTRtex,b1377 or b0241 or b0929 or b2215,
TAURtex,b1377 or b0241 or b0929 or b2215,
THRtex,b1377 or b0241 or b0929 or b2215,
THMDtex,b1377 or b0241 or b0929 or b2215,
CBIuabcpp,b0158 and b1711 and b1709,3.6.3.33
METDtex,b1377 or b0241 or b0929 or b2215,
METtex,b1377 or b0241 or b0929 or b2215,
MNLtex,b0241 or b1377 or b2215 or b0929,
NAtex,b1377 or b0241 or b0929 or b2215,
NACtex,b1377 or b0241 or b0929 or b2215,
NH4tex,b0241 or b1377 or b2215 or b0929,
URIH,b0651 or b2162 or b0030,3.2.2.3
XTSNH,b0030,3.2.2.1
INSH,b0030,"['3.2.2.1', '3.2.2.2', '3.2.2.8']"
BUTtex,b1377 or b0241 or b0929 or b2215,
CHLtex,b1377 or b0241 or b0929 or b2215,
CO2tex,b1377 or b0241 or b0929 or b2215,
CRNtex,b1377 or b0241 or b0929 or b2215,
PPK2,b2501,
DINStex,b1377 or b0241 or b0929 or b2215,
DMStex,b1377 or b0241 or b0929 or b2215,
CSNtex,b1377 or b0241 or b0929 or b2215,
CYNTtex,b0929 or b2215 or b0241 or b1377,
CYStex,b1377 or b0241 or b0929 or b2215,
CYTDtex,b1377 or b0241 or b0929 or b2215,
DCAtex,b1377 or b0241 or b0929 or b2215,
DCYTtex,b0411,
DGSNtex,b1377 or b0241 or b0929 or b2215,
MTHFR2,b3941,1.5.1.20
ASPO3,b2574,
ASPO5,b2574,1.5.99.-
ASPO4,b2574,
ASPO6,b2574,1.4.3.16
LCTStex,b1377 or b0241 or b0929 or b2215,
LEUtex,b1377 or b0241 or b0929 or b2215,
LYStex,b1377 or b0241 or b0929 or b2215,
LYXtex,b1377 or b0241 or b0929 or b2215,
MANtex,b1377 or b0241 or b0929 or b2215,
MAN6Ptex,b0929 or b2215 or b0241 or b1377,
MELIBtex,b1377 or b0241 or b0929 or b2215,
DMSOtex,b1377 or b0241 or b0929 or b2215,
DURItex,b0411,
FRUtex,b1377 or b0241 or b0929 or b2215,
FUCtex,b1377 or b0241 or b0929 or b2215,
FUMtex,b1377 or b0241 or b0929 or b2215,
ACACT5r,b3845 or b2342,2.3.1.9
MALDDH,b1800,1.1.1.83
FE2tex,b0241 or b1377 or b2215 or b0929,
NMNtex,b1377 or b0241 or b0929 or b2215,
NO2tex,b1377 or b0241 or b0929 or b2215,
DHPS2,b3177,2.5.1.15
MTHFC,b0529,3.5.4.9
MTHFD,b0529,1.5.1.5
BUTt2rpp,b2223,
CADVtpp,b4132,
QULNS,b0750,2.5.1.72
ALKP,b2690,"['3.1.3.-', '3.1.3.1', '3.1.3.2']"
GDPtex,b2215 or b0929 or b1377 or b0241,
TMAtex,b1377 or b0241 or b0929 or b2215,
TMAOtex,b1377 or b0241 or b0929 or b2215,
TREtex,b1377 or b0241 or b0929 or b2215,
L_LACD3,( b0308 and b0306 and b0307 ) or b3605,1.1.2.3
L_LACD2,( b0306 and b0308 and b0307 ) or b3605,1.1.2.3
ACACT6r,b2342 or b3845,"['2.3.1.16', '2.3.1.9']"
TRPtex,b1377 or b0241 or b0929 or b2215,
TSULtex,b1377 or b0241 or b0929 or b2215,
TYRtex,b1377 or b0241 or b0929 or b2215,
URAtex,b1377 or b0241 or b0929 or b2215,
UREAtex,b1377 or b0241 or b0929 or b2215,
URItex,b0411,
VALtex,b1377 or b0241 or b0929 or b2215,
XANtex,b1377 or b0241 or b0929 or b2215,
XYLtex,b1377 or b0241 or b0929 or b2215,
ABUTtex,b1377 or b0241 or b0929 or b2215,
FORtppi,b0904 or b2492,
DATPHs,s0001,
GLCTR1,b3631,
LIPAabcpp,b0914,
LIPACabcpp,b0914,
GGGABADr,b1300,1.2.1.-
GLYOX3,b1967,4.2.1.130
FDMO3,b0935,
FDMO4,b0935,1.14.14.5
BUTSO3abcpp,( b0933 and b0934 and b0936 ) or ( b0365 and b0366 and b0367 ),
ETHSO3abcpp,b0933 and b0934 and b0936,
O16GLCT1,b2032,
O16AP2pp,b2027 and b2035,
O16AP3pp,b2027 and b2035,
O16A4Lpp,b3622,
MALTATr,b0459,2.3.1.79
ENTERES,b0585,3.1.1.-
23CAMPtex,b1377 or b0241 or b0929 or b2215,
23CCMPtex,b1377 or b0241 or b0929 or b2215,
23CUMPtex,b1377 or b0241 or b0929 or b2215,
23CGMPtex,b1377 or b0241 or b0929 or b2215,
3AMPtex,b1377 or b0241 or b0929 or b2215,
3CMPtex,b1377 or b0241 or b0929 or b2215,
LADGMDH,b1326,
ALAGLUE,b1325,5.1.1.20
FEENTERtpp,b0591,
FEENTERtex,b3035,
PTRCt2pp,b1296 or b0692 or b2014,
GGGABAH,b1298,3.5.1.94
FRULYSK,b3374,
FDMO6,b0935,
SULFACabcpp,b0933 and b0934 and b0936,
ETHSO3tex,b1377 or b0241 or b0929 or b2215,
BUTSO3tex,b1377 or b0241 or b0929 or b2215,
LIPOtex,b0929 or b1377 or b2215 or b0241,
CYANSTpp,b1308,2.8.1.1
MCPST,b2521,2.8.1.2
PHEMEabcpp,b2200 and b2199 and b2198 and b2197 and b2201,3.6.3.41
GALBDtex,b0929 or b2215 or b0241 or b1377,
LIPAHT2ex,b0622,
LIPAHTex,b0622,
ECAP1pp,b3785 and b3793 and b3792,
UDCPDPpp,b3057 or b1278 or b0841,
ECAP2pp,b3785 and b3793 and b3792,
ECA4OALpp,b3622,
FE3Ri,b3844,
SULFACtex,b0241 or b1377 or b2215 or b0929,
NODOy,b2552,1.14.12.17
GALM2pp,b0756,5.1.3.3
CU1abcpp,b0484,3.6.3.54
HG2abcpp,b3469,
GLCTR3,b3626,
HEPT4,b3623,2.4.1.56
LA4NTpp,b2257,
NODOx,b2552,1.14.12.17
NOtex,b1377 or b0241 or b0929 or b2215,
NOtpp,s0001,
NHFRBO,b2711 and b2710,1.7.1.14
N2Otpp,s0001,
N2Otex,b1377 or b0241 or b0929 or b2215,
CRNt8pp,b0040,
CRNt2rpp,b4111,
CRNDt2rpp,b4111,
CTBTt2rpp,b4111,
42A12BOOXpp,b1386,"['1.4.3.21', '1.4.3.4', '1.4.9.2', '1.4.99.4']"
TYROXDApp,b1386,"['1.4.3.21', '1.4.3.4', '1.4.9.2', '1.4.99.4']"
PEAMNtex,b1377 or b0241 or b0929 or b2215,
PACALDtex,b1377 or b0241 or b0929 or b2215,
NTRIR4pp,b4072 and b4070 and b4071 and b4073,
NTRIR3pp,b4072 and b4070 and b4071 and b4073,
INOSTt4pp,b3679,
AGM3PA,b0110,
CYANtex,b1377 or b0241 or b0929 or b2215,
SO3tex,b1377 or b0241 or b0929 or b2215,
TCYNTtex,b1377 or b0241 or b0929 or b2215,
ACANTHAT,b1463,
METSOX1tex,b1377 or b0241 or b0929 or b2215,
METSOX2tex,b1377 or b0241 or b0929 or b2215,
3UMPtex,b1377 or b0241 or b0929 or b2215,
3GMPtex,b1377 or b0241 or b0929 or b2215,
FALDtpp,s0001,
