,gpr,ec
2AGPE141tipp,b2835,
2AGPE161tipp,b2835,
2AGPA161tipp,b2835,
2AGPA181tipp,b2835,
2AGPG120tipp,b2835,
LPLIPAL2G120,b3825,
PA141abcpp,b0914,
PA161abcpp,b0914,
PA180abcpp,b0914,
PGPP161pp,b0418 or b1278,3.1.3.27
PE120abcpp,b0914,
PE180abcpp,b0914,
PAPA140,b1278,
PAPA141,b1278,
PAPA161,b1278,
GTHOXtex,b1377 or b0241 or b0929 or b2215,
DSBAO1,b1185 and b3860,
DSBAO2,b1185 and b3860,
DSBDR,( b2582 and b4136 ) or ( b3781 and b4136 ),
TDSR1,b2893 and b4136,
CGLYabcpp,b3540 and b3542 and b3544 and b3543 and b3541,
PLIPA2A120pp,b3821,3.1.1.4
PLIPA2A160pp,b3821,3.1.1.4
LPLIPAL2E120,b3825,
EAR100x,b1288,2.3.1.-
EAR120x,b1288,2.3.1.-
EAR160x,b1288,1.3.1.9
EAR140y,b1288,2.3.1.86
3OAS121,b2323,2.3.1.41
3OAS80,b2323 or b1095,2.3.1.86
3OAS100,b2323 or b1095,2.3.1.86
3OAS120,b1095 or b2323,2.3.1.86
3OAR40,b1093,1.1.1.100
3OAR100,b1093,"['1.1.1.100', '2.3.1.-', '2.3.1.85', '2.3.1.86']"
3HAD60,b0954 or b0180,"['2.3.1.-', '2.3.1.85', '2.3.1.86', '4.2.1.58', '4.2.1.59']"
3HAD100,b0954 or b0180,"['2.3.1.-', '2.3.1.85', '2.3.1.86', '4.2.1.58', '4.2.1.59', '4.2.1.60', '4.2.1.61']"
3HAD140,b0954 or b0180,"['2.3.1.-', '2.3.1.85', '2.3.1.86', '4.2.1.59', '4.2.1.61']"
3HAD160,b0954 or b0180,"['2.3.1.-', '2.3.1.85', '2.3.1.86', '4.2.1.59', '4.2.1.61']"
AGPAT180,b3018,2.3.1.51
AGPAT141,b3018,2.3.1.51
AGPAT161,b3018,2.3.1.51
DASYN120,b0175,2.7.7.41
EAR40x,b1288,2.3.1.-
EAR60y,b1288,2.3.1.86
MLDEP1pp,b2328,
MLDEP2pp,b2328,
MLTGY2pp,b0211 or b1193 or b2813 or b2963 or b4392 or b2701 or b2558 or b1097,
MLTGY4pp,b0211 or b2963 or b2701 or b4392 or b2813 or b1193 or b2558 or b1097,
EAR60x,b1288,2.3.1.-
EAR80x,b1288,2.3.1.-
PE181abcpp,b0914,
NTP11,b4394,
3OAS180,b1095 or b2323,2.3.1.41
3HAD180,b0954 or b0180,"['2.3.1.-', '4.2.1.-', '4.2.1.61']"
CDAPPA120,b3918,3.6.1.26
PSSA120,b2585,2.7.8.8
PSD120,b4160,4.1.1.65
PAPA120,b1278,
MDDEP1pp,b2175 or b1655 or b2328 or b3182 or b2134 or b1856 or b0376,
MDDEP2pp,b2175 or b1655 or b2328 or b3182 or b2134 or b1856 or b0376,
PSD181,b4160,4.1.1.65
DAGK180,b4042,
DAGK181,b4042,
PLIPA2E120pp,b3821,
PLIPA2G141pp,b3821,
PLIPA2G161pp,b3821,
LPLIPAL1A120pp,b0494,3.1.1.5
LPLIPAL1A140pp,b0494,3.1.1.5
LPLIPAL1A181pp,b0494,
LPLIPAL1E120pp,b0494,
3OAR180,b1093,1.1.1.100
G3PAT120,b1094 and b4041,2.3.1.15
PGSA120,b1912,2.7.8.5
TDSR2,b0604 and b4136,
GTHRDtex,b1377 or b0241 or b0929 or b2215,
GTHRDabc2pp,b0886 and b0887,
NADHPO,b0606 and b0605,1.11.1.1
ACOAD7f,b0221,"['1.3.3.6', '1.3.8.7', '1.3.8.8', '1.3.8.9', '1.3.99.-', '1.3.99.3']"
ACOAD8f,b0221,
ACOAD5f,b0221,"['1.3.3.6', '1.3.8.7', '1.3.8.8', '1.3.99.-', '1.3.99.3']"
ACOAD3f,b0221,"['1.3.3.6', '1.3.8.7', '1.3.8.8', '1.3.99.-', '1.3.99.3']"
ACOAD2f,b0221,1.3.99.3
ACOAD4f,b0221,1.3.99.3
ACOAD6f,b0221,"['1.3.3.6', '1.3.8.7', '1.3.8.8', '1.3.8.9', '1.3.99.-', '1.3.99.3']"
NADH16pp,b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285,1.6.5.3
NADH18pp,b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285,1.6.5.3
GLYBt2pp,b1801 or b4111,
DSERt2pp,b4208,
ALAt4pp,b0007,
LYSt3pp,b2923 or b0874,
CTBTCAL2,b0037,
BGLA1,b2716 or b1734 or b3721,
GDPMNP,b2467,"['3.6.1.-', '3.6.1.21']"
AMMQLT8,b3833,2.1.1.163
FA120ACPHi,b0404,3.1.2.21
FA80ACPHi,b0404,3.1.2.21
FA140ACPHi,b0404,3.1.2.14
FA100ACPHi,b0404,3.1.2.21
CRNDCAL2,b0037,
CRNCAL2,b0037,
CHLt2pp,b0314 or b1801,
GLYt4pp,b0007,
FRULYSE,b4474,
FRULYSt2pp,b3370,
TUNGStex,b1377 or b0929 or b2215 or b0241,
COBALT2tpp,b3040 or b3816,
OXCDC,b2373,4.1.1.8
LPLIPAL2A140,b3825,3.1.1.5
LPLIPAL2A160,b3825,3.1.1.5
LPLIPAL2A161,b3825,
LPLIPAL2A180,b3825,3.1.1.5
LPLIPAL2A181,b3825,
UM3PL,b4233,
UM4PL,b4233,
2MAHMP,b0446 or b1134,3.6.1.-
ZN2tpp,b3040,
NI2tpp,b3816,
COBALT2t3pp,b0752 or b3915,
PLIPA1A120pp,b3821,3.1.1.32
PLIPA1A140pp,b3821,3.1.1.32
PLIPA1A141pp,b3821,3.1.1.32
PLIPA1A160pp,b3821,3.1.1.32
PLIPA1A161pp,b3821,
PLIPA1A180pp,b3821,3.1.1.32
LPLIPAL2A120,b3825,3.1.1.5
CAt6pp,b3196,
5DGLCNt2rpp,b4265,
GALCTNt2pp,b3691,
GALCTNLtex,b0929 or b2215 or b1377 or b0241,
KDUI,b2843,
CA2t3pp,b1216,
NADH17pp,b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285,1.6.5.3
FA161ACPHi,b0404,3.1.2.14
FA141ACPHi,b0404,3.1.2.14
ARGt3pp,b2923,
FA160ACPHi,b0404,3.1.2.14
MALDtex,b0241 or b1377 or b2215 or b0929,
OROTtex,b2215 or b1377 or b0929 or b0241,
PPAt4pp,b1015,
OROTt2_2pp,b3528,
MALDt2_2pp,b3528,
5DGLCNtex,b0929 or b1377 or b0241 or b2215,
DTARTD,b4122,4.2.1.81
PLIPA2E161pp,b3821,
PLIPA2E180pp,b3821,
PLIPA2G120pp,b3821,
PLIPA2G180pp,b3821,
LPLIPAL1A161pp,b0494,
LPLIPAL1A160pp,b0494,3.1.1.5
PSCLYSt2pp,b3370,
LYSt2pp,b2156,
GLYt2pp,b1801 or b4208,
ALAt2pp,b4208 or b4130,
BALAt2pp,b4208,
DALAt2pp,b4208,
FE2tpp,b3040,
MN2tpp,b3040,
MG2tpp,b3816,
NI2t3pp,b3915 or b0752,
PPAtex,b0929 or b0241 or b1377 or b2215,
GALCTNLt2pp,b4356,
GALCTLO,b4358,1.1.1.M8
PSCLYStex,b1377 or b0929 or b2215 or b0241,
THYMtex,b2215 or b0241 or b1377 or b0929,
CU2tpp,b3040,
FE2t3pp,b3915,
MN2t3pp,b3915 or b0752,
CD2tpp,b3040,
FE3abcpp,,3.6.3.30
THRA,b2551 or b0870,"['4.1.2.48', '4.1.2.5']"
XYLK2,b0063 or b3580,2.7.1.53
GLDBRAN2,b3431,2.4.1.18
CLt3_2pp,b0155,
POR5,( b1378 and b0684 ) or ( b1378 and b2895 ),
HACD8,b3846 or b2341,1.1.1.35
CTECOAI8,b3846,5.3.3.8
CTECOAI6,b3846,5.3.3.8
MTHTHFSs,s0001,
MALCOAMT,b0777,
OGMEACPS,b1091,
OGMEACPR,b1093,
OPMEACPS,b2323,
LIPAabctex,b0054 and b3201 and b4261 and b4262 and b3199 and b3200 and b0641,
DGUNC,b1025 or b1794 or b1341 or b1535 or b1490,
CDGUNPD,b1285 or b1489 or b2503 or b3525 or b0315,
LDGUNPD,b1285,
MPTAT,b0009,2.7.7.75
MOADSUx,b0784 and b2530,
CMtpp,( b3035 and b0463 and b2470 ) or ( b3035 and b0463 and b0462 ),
FUSAtpp,( b3035 and b0463 and b0462 ) or ( b3035 and b0463 and b2470 ),
RFAMPtex,s0001,
MINCYCtex,b0929 or b1377 or b0241 or b2215,
MINCYCtpp,( b3035 and b0463 and b2470 ) or ( b3035 and b0463 and b0462 ),
DOXRBCNtex,b1377 or b0929 or b2215 or b0241,
DOXRBCNtpp,( b3035 and b0463 and b0462 ) or ( b3035 and b0463 and b2470 ),
ETOHtrpp,s0001,
REPHACCOAI,b1394,
ACPPAT141,b1094 and b1090,
ACPPAT161,b1094 and b1090,
ACPPAT180,b1094 and b1090,
APG3PAT160,b3059,
APG3PAT161,b3059,
APG3PAT180,b3059,
ICYSDS,b2530,
I4FE4SR,b2529,
S2FE2ST,b1684 and b1682 and b1681 and b1683,
BMOCOS,b0827,
BWCOS,b0827,
BWCOGDS1,b3857,
BWCOGDS2,b3857,
DHNPTE,b3058,
DHMPTR,b1606,
NOVBCNtpp,( b3035 and b0463 and b2470 ) or ( b3035 and b0463 and b0462 ),
CMtex,b1377 or b2215 or b0929 or b0241,
LALALGLUtex,b0929 or b1377 or b0241 or b2215,
LALADGLUtpp,b3496 or b0709 or b1634 or b4130,
I2FE2SS,b2530 and b2529,
I2FE2ST,b2529 and b2528,
I2FE2SS2,b2530 and b2529,
I4FE4ST,b2529 and b2528,
S4FE4ST,b1684 and b1682 and b1681 and b1683,
S2FE2SS2,b1682 and b1683 and b1680 and b1681 and b1679,
BTS5,b0775,
5MTRtex,b2215 or b1377 or b0929 or b0241,
LALADGLUtex,b0241 or b2215 or b1377 or b0929,
LALALGLUtpp,b4130 or b1634 or b3496 or b0709,
3AMACHYD,b1009,3.5.1.-
3HPPtex,b2215 or b1377 or b0929 or b0241,
CCGS,b0444,6.3.4.20
CDGR,b2794,1.7.1.13
CBMD,s0001,"['3.5.1.110', '4.2.1.104']"
MSAR,b1008 or b1539,"['1.1.1.-', '1.1.1.298']"
ACPPAT120,b1094 and b1090,
CPH4S,b2765,4.1.2.50
SHCHCS3,b2263,4.2.99.20
URACPAH,b1011,3.5.1.110
POAACR,b1010,
ACPPAT160,b1094 and b1090,
ACPPAT181,b1094 and b1090,
APH141,b0968,
APH161,b0968,
APH180,b0968,
APH181,b0968,
GTHPi,b1710,1.11.1.9
SEPHCHCS,b2264,2.2.1.9
DHNCOAS,b2262,
DHNCOAT,b1686,
FESD1s,s0001,
I2FE2SR,b2529 and b2530,
TYRL,b3991,4.1.99.19
THZPSN3,b3992 and b3990 and b0423 and b2530 and b4407 and b3991,
APG3PAT120,b3059,
APH120,b0968,
MOCDS,b2877,
FUSAtex,b1377 or b2215 or b0929 or b0241,
NOVBCNtex,s0001,
QUIN2tex,b0241 or b2215 or b1377 or b0929,
FORCT,b2374,2.8.3.16
DHPTDCs2,s0001,
PACCOAE,b1389 and b1388 and b1391 and b1392 and b1390,
OXDHCOAT,b1397 and b1394,2.3.1.223
HADPCOADH3,b1395,"['1.1.1.157', '1.1.1.35']"
O16A4COLIPAabctex,b0054 and b3201 and b4261 and b4262 and b3199 and b3200 and b0641,
COLIPAabctex,b0054 and b3201 and b3200 and b0641 and b4262 and b3199 and b4261,
ENLIPAabctex,b0054 and b3201 and b4261 and b4262 and b3199 and b3200 and b0641,
PYROX,b1007 and b1012,
BMOGDS1,b3857,
MPTS,b0785 and b0784,
MOCOS,b0827,
BMOGDS2,b3857,
FESD2s,s0001,
S2FE2SR,b1681 and b1679 and b1680 and b1682 and b1683,
ACACT8r,b2342 or b3845,
CTECOAI7,b3846,5.3.3.8
CLIPAabctex,b0054 and b3201 and b4261 and b4262 and b3199 and b3200 and b0641,
K2L4Aabctex,b0054 and b3201 and b4261 and b4262 and b3199 and b3200 and b0641,
FDH4pp,( b3894 and b3893 and b3892 ) or ( b1476 and b1474 and b1475 ),
FDH5pp,( b1476 and b1474 and b1475 ) or ( b3894 and b3893 and b3892 ),
ACPPAT140,b1094 and b1090,
APG3PAT140,b3059,
APG3PAT141,b3059,
APG3PAT181,b3059,
APH140,b0968,
APH160,b0968,
OPMEACPD,b0180,4.2.1.59
EPMEACPR,b1288,1.3.1.10
AOXSr2,b0776,2.3.1.47
MEOHtrpp,s0001,
SCYSDS,b1680 and b1679,
S2FE2SS,b1682 and b1683 and b1680 and b1681 and b1679,
S4FE4SR,b1681 and b1682 and b1683,
SELtex,b2215 or b1377 or b0929 or b0241,
SELR,b1588 and b1589 and b1590 and b1587,
OGMEACPD,b0180,4.2.1.59
EGMEACPR,b1288,1.3.1.10
OPMEACPR,b1093,
PMEACPE,b3412,3.1.1.85
MEOHtex,b2215 or b0929 or b1377 or b0241,
MECDPDH5,( b2515 and b2895 ) or ( b2515 and b0684 ),
RNTR1c2,( b0684 and b4238 ) or ( b4238 and b3924 and b0684 and b4237 ) or ( b4238 and b3924 and b2895 and b4237 ) or ( b2895 and b4238 ),
RNTR2c2,( b4238 and b3924 and b0684 and b4237 ) or ( b4238 and b3924 and b2895 and b4237 ) or ( b2895 and b4238 ) or ( b0684 and b4238 ),
RNTR3c2,( b2895 and b4238 ) or ( b4238 and b3924 and b0684 and b4237 ) or ( b4238 and b3924 and b2895 and b4237 ) or ( b0684 and b4238 ),
RNTR4c2,( b0684 and b4238 ) or ( b4238 and b3924 and b0684 and b4237 ) or ( b4238 and b3924 and b2895 and b4237 ) or ( b2895 and b4238 ),
FLDR2,( b3924 and b2895 ) or ( b3924 and b0684 ),
CDGS,,4.3.99.3
TTRCYCtex,b1377 or b0929 or b0241 or b2215,
TTRCYCtpp,( b3035 and b0463 and b2470 ) or ( b3035 and b0463 and b0462 ),
FESR,b4209,
OXCOAHDH,b1387,
DHACOAH,b1393,4.2.1.17
THFAT,b2551,2.1.2.10
FOMETRi,b2912,2.1.2.10
SLNTtex,b2215 or b1377 or b0929 or b0241,
GDPTPDP,b3650,3.1.7.2
COLIPAKpp,b2174,
MPTSS,b0826,
CPMPS,b0783 and b0781,4.1.99.18
LIPOCT,b0630,
LIPOS,b0628,
OCTNLL,b4386,
LIPATPT,b4386,"['2.7.7.63', '6.3.1.20']"
LIPAMPL,b4386,
ALDD19xr,b1385,"['1.2.1.39', '1.2.1.5']"
MMM,b2917,
MOGDS,b3857,
WCOS,b0827,
RFAMPtpp,( b3035 and b0463 and b0462 ) or ( b3035 and b0463 and b2470 ),
VPAMTr,b3572,2.6.1.66
ACOLIPAabctex,b0054 and b3201 and b4261 and b4262 and b3199 and b3200 and b0641,
ECA4COLIPAabctex,b0054 and b3201 and b4261 and b4262 and b3199 and b3200 and b0641,
COLIPAPabctex,b0054 and b3201 and b4261 and b4262 and b3199 and b3200 and b0641,
TARTRDtex,b0241 or b1377 or b2215 or b0929,
3OXCOAT,b1397,"['2.3.1.16', '2.3.1.174']"
BTNtex,b0241 or b2215 or b1377 or b0929,
2DGULRGx,b3553,
2DGULRGy,b3553,
AP4AS,b4129,2.7.7.-
ARBTptspp,( b2416 and b3722 and b2415 ) or ( b2416 and b2715 and b2415 ),
ARBTtex,b1377 or b2215 or b0929 or b0241,
DMSOtpp,s0001,
PYDXtex,b1377 or b2215 or b0929 or b0241,
SUCASPtpp,b4123 or b4138 or b0621,
SUCMALtpp,b4123 or b4138 or b0621,
PYDXNtex,b1377 or b2215 or b0929 or b0241,
PYDAMtex,b1377 or b2215 or b0929 or b0241,
13PPDH2,b3011,
TARTt2_3pp,b4123,
SUCTARTtpp,b4123,
APCS,b0121,"['2.5.1.-', '2.5.1.16']"
CHTBSptspp,b2415 and b1737 and b1738 and b1736 and b2416,
CHTBStex,b0241 or b0929 or b2215 or b1377 or b0681,
TRPtipp,b1473,
TYRtipp,b1473,
ThDPAT,,2.7.7.-
GHBDHx,b3882,1.1.1.61
APPLDHr,b3945,"['1.1.1.75', '2.3.1.37']"
SPMDt3pp,b1600 and b1599,
PHEtipp,b1473,
G2PP,b2533,3.1.3.19
DHNPA2r,b3058,4.1.2.25
GLYC2Pabcpp,b3451 and b3450 and b3453 and b3452,
CRNDtex,b0241 or b1377 or b2215 or b0929,
SHGO,b2660,
NADHXD,b4167,
NADPHHR,s0001 or b1779,
NADPHHS,b1779 or s0001,
NADHHS,s0001 or b1779,
NADHXE,b4167,
SELabcpp,( b2425 and b2423 and b2422 and b2424 ) or ( b3917 and b2423 and b2422 and b2424 ),
PYK2,b1854,2.7.1.40
PYK3,b1854,2.7.1.40
PYK4,b1854,2.7.1.40
NADPHXD,b4167,
NADHHR,s0001 or b1779,
NADPHXE,b4167,
ALAtpp,b2670,
DHBSZ3FEabcpp,b0590 and b0588 and b0589 and b0592,
FE3DHBZS3R,b3070,
DXYLTD,b0269 or b4297,
2DDARAA,b4298 or b0268,
2DGLCptspp,b2416 and b1817 and b2415 and b1819 and b1818,
GNP,b3715 or b2690,
ALLTAMH2,b0516,
UGCIAMH,b0515,
METGLCUR,b1617,
ACOAD1fr,b1695,
23DOGULNt4pp,b3579 and b3577 and b3578,
FE3DCITexs,s0001,
FEENTERES,b0585,
FEENTERR4,b3070,
DXYLONtex,b0929 or b1377 or b2215,
PSURItex,b2215 or b0929 or b1377 or b0241,
ALR2x,b1771,
OMPHHXy,b2907,
CHLt3pp,b0543,
GLYBt3pp,b0543,
AI2tpp,b1601,
Ftpp,b0624,
SQVOSI,b3880,
6D6SPA,b3881,
DHPStr,b3877,
SQtr,b3876,
DHPStex,b3875,
FMNtex,b2215 or b0929 or b0241 or b1377,
AI2K,b1511,
CLBtex,b0929 or b0241 or b1377 or b2215,
ACOXT,b2371,
2HESR,b2989 or b2302,
CHOLID,b1619,
CHOLATEtpp,b4337,
4ABZGLUH,b1337 and b1338,
4ABZGLUtr,b1336,
PHDA,b2873,
TEO2M,b1430,
PACOAT,b1396,
CYSItpp,b3943,
DHPTDNR,b0578,1.5.1.34
DHPTDNRN,b0578,1.5.1.34
PCNO,b3253,"['1.3.1.-', '1.3.1.84']"
HPACOAT,b1396,
PUACGAMtr,b1021 and b1022,
DC6PDA,b1733,
5DGLCNR,b4266,"['1.1.1.-', '1.1.1.69']"
PIt2rpp,b3493 or b2987,
LEUt2rpp,b0401,
LCTStpp,b0343,
ILEt3pp,b4141,
METt3pp,b1798 or b4141,
GSNt3pp,b3662,
CLtipp,b1592,
5DKGR,b2842 or b4266,
PItpp,b4020,
LEUt3pp,b1798 or b4141,
INSt3pp,b3662,
INDOLEt2rpp,b3161,
ILEt2rpp,b0401,
GLYtpp,b3927,
PYK6,b1854,
FADt,b1985,
FADtex,b1377 or b0241 or b2215 or b0929,
AI2abcpp,b1515 and b1516 and b1513 and b1514,
PAI2I,b1518,
4HBZt3pp,b3240 and b3241,
CURR,b1449,
LKDRA,b2245,
METNA,b1448,
XYHDL,b3656,
2DGLCtex,b2215 or b1377 or b0241 or b0929,
E4PP,b3826 or b2293 or b0822 or b2690 or b1727,
PUACGAMS,b1021 and b1022,
RU5PP,b2293,
6D6SFK,b3883,
3SLAR,b3882,
SQtex,b3875,
MOX,,1.1.5.4
URATEtex,b0929 or b2215 or b0241 or b1377,
CBL1tonex,b3006 and b1252 and b3005 and b3966,
CBItonex,b3006 and b1252 and b3005 and b3966,
ARHGDx,b2913,
CPL,b4098,
INOSTO,b3488,1.13.99.1
HPYRP,b1813,
PSURIK,b2166,
Ftex,b2215 or b0241 or b0929 or b1377,
CYSItex,b1377 or b0929 or b0241 or b2215,
SERtpp,b1533,
QUINDHyi,b1692,
DHGLYH,s0001,
PNSPA,b1103,
4HTHRK,b0003,2.7.1.-
URATEtpp,b2888,
CS1tex,b0241 or b0929 or b2215 or b1377,
ADOCBLtonex,b3006 and b1252 and b3005 and b3966,
PETNT181pp,b3546,
ARMEPNS,b4099 and b4096 and b4100 and b4101,
RPNTPH,b4095,
PRCPD,b4092,
MEPNtex,b2215 or b0929 or b0241 or b1377,
UDPGPT,b2047,
MEPNabcpp,b4105 and b4104 and b4106,
OMMBLHXy,b0662,
OPHHXy,b2906,
PROD3,b1014,
F1PP,b0822 or b2690 or b2293 or b3697,
ACP1p,b0383,
3HPADHi,b1300,
4ABZGLUtex,b2215 or b0241 or b1377 or b0929,
2HPTCOAT,b1400,
MC6PH,b1734,
SLNTabcpp,( b2425 and b2423 and b2422 and b2424 ) or ( b3917 and b2423 and b2422 and b2424 ),
VALt2rpp,b0401,
VALt3pp,( b2683 and b2682 ) or b4141,
MN2tipp,b1821,
PSURItpp,b2164,
CYSTA,b0928,"['2.6.1.1', '2.6.1.3']"
FE3DCITR5,b3070,
4HTHRA,b0870,
GAPP,b1727,
METGLCURt2pp,b1616,
METGLCURtex,b2215 or b1377 or b0241 or b0929,
FMNt,b1985,
AI2tex,b0241 or b2215 or b0929 or b1377,
PAI2T,b1517,
CUt2pp,b2924 or b0577 or b0465 or b3291 or b1330 or b4159 or b0808,
DHCURR,b1449,
RHMND,b2247,
3HBZCT,b0597,
CXSAMS,b1870,
THRt2rpp,b3116,
SERt2rpp,b2796 or b3116,
ACOAD1f,b0221,"['1.3.3.6', '1.3.8.1', '1.3.8.7', '1.3.99.-', '1.3.99.3']"
AMPNTAT,b4093,
SQGH,b3878,
ASPtpp,b1206,
FUMt1pp,b1206,
SUCCt1pp,b1206,
QUINDH,b1692,"['1.1.1.24', '1.1.1.282']"
LCARSyi,b0325,
SHK3Dr_reverse,b1692,
